RGB hex value,Live keyword
11,25-29
11,30-39
11,40-49
11,50-59
11,60-69
11,70-79
11,80-89
11,90+
11,unbekannt
12,0-4
12,5-9
12,10-14
12,15-19
12,20-24
12,25-29
12,30-39
12,40-49
12,50-59
12,60-69
12,70-79
12,80-89
12,90+
12,unbekannt
13,0-4
13,5-9
13,10-14
13,15-19
13,20-24
13,25-29
13,30-39
13,40-49
13,50-59
13,60-69
13,70-79
13,80-89
13,90+
13,unbekannt
14,0-4
14,5-9
14,10-14
14,15-19
14,20-24
14,25-29
14,30-39
14,40-49
14,50-59
14,60-69
14,70-79
14,80-89
14,90+
14,unbekannt
15,0-4
15,5-9
15,10-14
15,15-19
15,20-24
15,25-29
15,30-39
15,40-49
15,50-59
15,60-69
15,70-79
15,80-89
15,90+
15,unbekannt
16,0-4
16,5-9
16,10-14
16,15-19
16,20-24
16,25-29
16,30-39
16,40-49
16,50-59
16,60-69
16,70-79
16,80-89
16,90+
16,unbekannt
17,0-4
17,5-9
17,10-14
17,15-19
17,20-24
17,25-29
17,30-39
17,40-49
17,50-59
17,60-69
17,70-79
17,80-89
17,90+
17,unbekannt
18,0-4
18,5-9
18,10-14
18,15-19
18,20-24
18,25-29
18,30-39
18,40-49
18,50-59
18,60-69
18,70-79
18,80-89
18,90+
18,unbekannt
19,0-4
19,5-9
19,10-14
19,15-19
19,20-24
19,25-29
19,30-39
19,40-49
19,50-59
19,60-69
19,70-79
19,80-89
19,90+
19,unbekannt
20,0-4
20,5-9
20,10-14
20,15-19
20,20-24
20,25-29
20,30-39
20,40-49
20,50-59
20,60-69
20,70-79
20,80-89
20,90+
20,unbekannt
21,0-4
21,5-9
21,10-14
21,15-19
21,20-24
21,25-29
21,30-39
21,40-49
21,50-59
21,60-69
21,70-79
21,80-89
21,90+
21,unbekannt
22,0-4
22,5-9
22,10-14
22,15-19
22,20-24
22,25-29
22,30-39
22,40-49
22,50-59
22,60-69
22,70-79
22,80-89
22,90+
22,unbekannt
23,0-4
23,5-9
23,10-14
23,15-19
23,20-24
23,25-29
23,30-39
23,40-49
23,50-59
23,60-69
23,70-79
23,80-89
23,90+
23,unbekannt
24,0-4
24,5-9
24,10-14
24,15-19
24,20-24
24,25-29
24,30-39
24,40-49
24,50-59
24,60-69
24,70-79
24,80-89
24,90+
24,unbekannt
25,0-4
25,5-9
25,10-14
25,15-19
25,20-24
25,25-29
25,30-39
25,40-49
25,50-59
25,60-69
25,70-79
25,80-89
25,90+
25,unbekannt
26,0-4
26,5-9
26,10-14
26,15-19
26,20-24
26,25-29
26,30-39
26,40-49
26,50-59
26,60-69
26,70-79
26,80-89
26,90+
26,unbekannt
27,0-4
27,5-9
27,10-14
27,15-19
27,20-24
27,25-29
27,30-39
27,40-49
27,50-59
27,60-69
27,70-79
27,80-89
27,90+
27,unbekannt
28,0-4
28,5-9
28,10-14
28,15-19
28,20-24
28,25-29
28,30-39
28,40-49
28,50-59
28,60-69
28,70-79
28,80-89
28,90+
28,unbekannt
29,0-4
29,5-9
29,10-14
29,15-19
29,20-24
29,25-29
29,30-39
29,40-49
29,50-59
29,60-69
29,70-79
29,80-89
29,90+
29,unbekannt
30,0-4
